age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,w_raw_pos,w_transformed_pos,w_neg_pos,w_transformed_neg
34,m,383,3,7,3.7,1.0,1.0,0.75,0.666666666666667,0.885714285714286,1.0,0.941176470588235,0.777777777777778,0.0795454545454545,0.857142857142857,0.0,-0.0588235294117647,0.0277777777777778,-0.587121212121212,-0.0285714285714286,1.0,0.972222222222222,0.764705882352941,0.15,0.871428571428571,1,74.91261821342637,-2.74071772078604,5.696124932954592,-3.181101331304648,0.0007335815090851461,-3.181101331304648,0.0007335815090851461
35,f,440,2,5,3.9,1.0,1.0,0.269230769230769,0.0,0.612244897959184,1.0,1.0,1.0,0.0357142857142857,1.0,0.0,0.0,0.730769230769231,0.0357142857142857,0.387755102040816,1.0,1.0,0.612244897959184,0.0275229357798165,0.793478260869565,2,34.1504919740497,-3.7181539783922624,11.830558329888833,-3.2456767698804434,0.0005858589718687468,-3.2456767698804434,0.0005858589718687468
42,f,478,7,16,3.6,0.938775510204082,0.318181818181818,0.08,0.0869565217391304,0.191489361702128,0.892857142857143,0.76,0.103448275862069,0.045045045045045,0.407407407407407,-0.0459183673469388,0.441818181818182,0.023448275862069,-0.0419114766940854,0.21591804570528,0.928571428571429,0.553191489361702,0.0925925925925926,0.0522388059701493,0.306930693069307,1,115.6548612371494,-0.9822914496280399,3.8014793100550124,-2.067986907611685,0.019320627119331746,-2.067986907611685,0.019320627119331746
24,Male,438,2,4,3.9,1.0,0.956521739130435,0.0833333333333333,0.0476190476190476,0.51063829787234,1.0,0.95,0.952380952380952,0.0108695652173913,0.951219512195122,0.0,-0.00652173913043486,0.869047619047619,-0.0367494824016563,0.440581214322782,1.0,0.953488372093023,0.488888888888889,0.0176991150442478,0.715909090909091,2,42.09532027234839,-2.441608568121773,10.690878897220388,-3.2573605699480814,0.0005622674445778797,-3.2573605699480814,0.0005622674445778797
22,m,535,5,3,3.8,0.972477064220184,0.172413793103448,0.037037037037037,0.032258064516129,0.107142857142857,1.0,0.275862068965517,0.0,0.00826446280991736,0.131147540983607,0.0275229357798165,0.103448275862069,-0.037037037037037,-0.0239936017062117,0.0240046838407494,0.97841726618705,0.224137931034483,0.0169491525423729,0.0131578947368421,0.11965811965812,1,63.016592392846526,-0.6349714340629047,7.013269852396676,-2.412283118629654,0.007926482997902995,-2.412283118629654,0.007926482997902995
35,m,478,6,6,3.8,1.0,0.178571428571429,0.0909090909090909,0.0357142857142857,0.14,0.958333333333333,0.875,0.0769230769230769,0.0285714285714286,0.46,-0.0416666666666666,0.696428571428571,-0.013986013986014,-0.00714285714285714,0.32,0.991803278688525,0.5,0.0833333333333333,0.0300751879699248,0.3,1,80.02150167410336,-0.7134460416537587,5.985698778397441,-2.9268959332172115,0.0017118170895810136,-2.9268959332172115,0.0017118170895810136
33,m,427,2,1,3.9,1.0,0.8,0.0,0.0740740740740741,0.4,1.0,1.0,1.0,0.0526315789473684,1.0,0.0,0.2,1.0,-0.0214424951267057,0.6,1.0,0.893617021276596,0.444444444444444,0.058252427184466,0.673913043478261,2,53.806185250025145,-2.535831990197328,8.679257627313632,-3.067292731680266,0.0010800360275799448,-3.067292731680266,0.0010800360275799448
27,Male,499,4,3,3.9,0.990990990990991,0.115384615384615,0.0333333333333333,0.0,0.0714285714285714,1.0,1.0,0.631578947368421,0.0192307692307692,0.833333333333333,0.00900900900900903,0.884615384615385,0.598245614035088,0.0192307692307692,0.761904761904762,0.992537313432836,0.530612244897959,0.26530612244898,0.0152671755725191,0.397959183673469,2,58.24308495559964,-1.2282915150017641,8.120175477135962,-2.7522831371478698,0.0029590664444167913,-2.7522831371478698,0.0029590664444167913
35,m,460,1,1,4.0,1.0,0.833333333333333,0.0434782608695652,0.0454545454545455,0.446808510638298,1.0,1.0,0.714285714285714,0.01,0.846153846153846,0.0,0.166666666666667,0.670807453416149,-0.0354545454545455,0.399345335515548,1.0,0.916666666666667,0.411764705882353,0.0163934426229508,0.656565656565657,1,64.8767821898576,-3.4084387510842133,5.137205646722079,-1.583701486961808,0.056630833139983794,-1.583701486961808,0.056630833139983794
25,m,368,2,6,3.7,1.0,0.0909090909090909,1.0,0.0909090909090909,0.473684210526316,0.95,0.105263157894737,1.0,0.0128205128205128,0.514285714285714,-0.05,0.0143540669856459,0.0,-0.0780885780885781,0.0406015037593985,0.990740740740741,0.0975609756097561,1.0,0.03,0.493150684931507,1,74.33414167610555,0.21255146558463278,7.382757709546072,-4.381673935037792,5.888548510968317e-6,-4.381673935037792,5.888548510968317e-6
31,m,375,3,6,3.3,1.0,0.555555555555556,0.0526315789473684,0.0,0.297297297297297,1.0,1.0,0.0,0.0,0.555555555555556,0.0,0.444444444444444,-0.0526315789473684,0.0,0.258258258258258,1.0,0.813953488372093,0.0256410256410256,0.0,0.439024390243902,1,40.12224053028675,-2.155870928114139,8.057396173084932,-2.4899800858406858,0.0063875126538209814,-2.4899800858406858,0.0063875126538209814
42,m,441,1,4,3.8,1.0,0.0952380952380952,0.269230769230769,0.153846153846154,0.191489361702128,1.0,0.583333333333333,0.458333333333333,0.0227272727272727,0.520833333333333,0.0,0.488095238095238,0.189102564102564,-0.131118881118881,0.329343971631206,1.0,0.355555555555556,0.36,0.0526315789473684,0.357894736842105,1,93.08418782100082,-0.2522493912662696,5.992489087138944,-3.3759304303027737,0.00036783259396588885,-3.3759304303027737,0.00036783259396588885
