age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,learning_rate_raw,learning_rate_transformed,accept_AB_prev1,accept_AB_prev23,accept_AB_prev4,accept_A_prev1,accept_A_prev23,accept_A_prev4,accept_B_prev1,accept_B_prev23,accept_B_prev4,accept_A1_prev1,accept_A1_prev23,accept_A1_prev4,accept_A23_prev1,accept_A23_prev23,accept_A23_prev4,accept_A4_prev1,accept_A4_prev23,accept_A4_prev4,accept_B1_prev1,accept_B1_prev23,accept_B1_prev4,accept_B23_prev1,accept_B23_prev23,accept_B23_prev4,accept_B4_prev1,accept_B4_prev23,accept_B4_prev4,av_reward_est_A,av_reward_est_B,av_reward_est_both,av_reward_arithmetic_A,av_reward_arithmetic_B,av_reward_arithmetic_both
31,m,375,3,6,3.3,1,0.555555555555556,0.0526315789473684,0,0.297297297297297,1,1,0,0,0.555555555555556,0,0.444444444444444,-0.0526315789473684,0,0.258258258258258,1,0.813953488372093,0.0256410256410256,0,0.439024390243902,1,77.9974268408791,0.794890591483874,0.0702868189254415,-3.40362413505059,0.000332490947510422,0.421428571428571,0.503992628992629,0.526102941176471,0.642857142857143,0.621621621621622,0.764705882352941,0.2,0.386363636363636,0.2875,1,1,1,0.346153846153846,0.166666666666667,0.2,0,0,0,NaN,1,1,0.571428571428571,0.857142857142857,0.466666666666667,0,0,0,8.39006205428517,8.08305026182222,8.22518535092544,10.6485155502171,9.27709519596419,9.91201202663684
42,m,441,1,4,3.8,1,0.0952380952380952,0.269230769230769,0.153846153846154,0.191489361702128,1,0.583333333333333,0.458333333333333,0.0227272727272727,0.520833333333333,0,0.488095238095238,0.189102564102564,-0.131118881118881,0.329343971631206,1,0.355555555555556,0.36,0.0526315789473684,0.357894736842105,1,97.7149257487272,0.787960667618635,0.0673231699210363,-3.12183841902991,0.00089862775437477,0.363197189284146,0.514039855072464,0.57051282051282,0.595959595959596,0.673913043478261,0.807692307692308,0.130434782608696,0.354166666666667,0.333333333333333,1,1,1,0.15625,0.142857142857143,0.375,0.1875,0,0,NaN,1,1,0.6,0.583333333333333,0.483870967741935,0,0,0.0555555555555556,8.85691721887281,7.97783822539229,8.43464060266917,10.9089063716572,9.85710649646315,10.4036611143887
46,m,457,0,1,3.8,0.99,0.961538461538462,0,0.0416666666666667,0.454545454545455,0.952380952380952,0.576923076923077,0.5,0.0816326530612245,0.538461538461538,-0.0376190476190477,-0.384615384615385,0.5,0.0399659863945578,0.0839160839160839,0.983471074380165,0.769230769230769,0.236363636363636,0.0737704918032787,0.495327102803738,2,144.489587906803,0.699918005372872,0.0554705331783516,-1.88902827619023,0.0294440199676563,0.47979797979798,0.543706293706294,0.52942439862543,0.626262626262626,0.818181818181818,0.708333333333333,0.333333333333333,0.269230769230769,0.350515463917526,0.978723404255319,1,1,0.454545454545455,0.615384615384615,0.222222222222222,0.0526315789473684,0,0,0,1,1,0.833333333333333,0.625,0.473684210526316,0.142857142857143,0.0714285714285714,0.285714285714286,10.1681787716516,4.8027074998697,7.54676280743816,7.21821237248662,5.08347565451832,6.17524100456497
39,m,408,3,7,3.7,0.972972972972973,0.0555555555555556,0.909090909090909,0.0952380952380952,0.525,0.96,0.863636363636364,0.95,0,0.904761904761905,-0.0129729729729731,0.808080808080808,0.0409090909090909,-0.0952380952380952,0.379761904761905,0.96969696969697,0.5,0.928571428571429,0.0185185185185185,0.719512195121951,1,88.1866729551412,2.85787332406789,0.0828152439844363,0.736257211955357,0.769212909748554,0.443783783783784,0.639194139194139,0.619878183831672,0.567567567567568,0.897435897435897,0.80952380952381,0.32,0.380952380952381,0.430232558139535,0.967741935483871,0.966666666666667,1,0.461538461538462,0.8,0.555555555555556,0,0.117647058823529,0,1,1,0.928571428571429,0.833333333333333,1,0.888888888888889,0,0,0,1.90099736622973,0.914771547145983,1.3754652688633,10.3259876682782,9.20285345644824,9.72750092564216
40,m,407,5,7,3.7,0.988636363636364,0.727272727272727,0.173913043478261,0,0.444444444444444,1,0.842105263157895,0.764705882352941,0.051948051948052,0.805555555555556,0.0113636363636364,0.114832535885167,0.59079283887468,0.051948051948052,0.361111111111111,0.991071428571429,0.780487804878049,0.425,0.0388349514563107,0.604938271604938,2,80.0308482746795,0.545398209560396,0.0826824793811714,-1.9665994894184,0.024614701194584,0.486350574712644,0.566666666666667,0.624625374625375,0.597701149425287,0.733333333333333,0.807692307692308,0.375,0.4,0.441558441558442,1,0.962962962962963,1,0.391304347826087,0.538461538461538,0.444444444444444,0,0,0,NaN,1,1,0.875,0.6,0.826086956521739,0.125,0.125,0,9.86290156078939,4.87955960232187,7.55642234352571,6.90305416522004,4.72352078493587,5.89428364799392
38,m,522,0,6,3.8,0.990654205607477,0.269230769230769,0.285714285714286,0.037037037037037,0.277777777777778,0.84,0.0689655172413793,0.172413793103448,0.00819672131147541,0.120689655172414,-0.150654205607477,-0.20026525198939,-0.113300492610837,-0.0288403157255616,-0.157088122605364,0.962121212121212,0.163636363636364,0.228070175438596,0.0134228187919463,0.196428571428571,1,97.2089473882558,1.73437506808234,0.0712355618550907,-3.64033939201017,0.00013613945227664,0.314392523364486,0.419232042370076,0.466757741347905,0.588785046728972,0.69811320754717,0.777777777777778,0.04,0.140350877192982,0.155737704918033,1,1,0.952380952380952,0.333333333333333,0.111111111111111,0.166666666666667,0.0526315789473684,0,0,NaN,0.8,0.866666666666667,0.1,0,0.131578947368421,0,0,0.0666666666666667,8.3474517215704,8.17476541440561,8.2573736224132,11.2634630544285,9.32815876414865,10.2539531829085
28,m,389,2,5,3.8,1,1,1,0.352941176470588,1,1,1,1,0.0113636363636364,1,0,0,0,-0.341577540106952,0,1,1,1,0.0666666666666667,1,1,94.2648717403142,2.09269098650432,0.0965650237439673,0.86767118258036,0.807212817014947,0.664004914004914,0.642344497607656,0.676808654496281,0.918918918918919,0.921052631578947,0.882352941176471,0.409090909090909,0.363636363636364,0.471264367816092,1,1,1,1,1,1,0.333333333333333,0.333333333333333,0,NaN,1,1,1,1,1,0,0.0769230769230769,0,1.59865904294363,0.751707190634011,1.13939641880391,9.69690708200913,9.57387505006474,9.6301925294759
48,m,409,2,6,3.8,1,0.863636363636364,0.0909090909090909,0.130434782608696,0.477272727272727,1,0.9,0.956521739130435,0.0487804878048781,0.930232558139535,0,0.0363636363636364,0.865612648221344,-0.0816542948038176,0.452959830866808,1,0.880952380952381,0.533333333333333,0.0666666666666667,0.701149425287356,2,80.0146043825972,-0.0248575131451076,0.0860168004058262,-2.38079106864809,0.0086377535279421,0.552795031055901,0.526427061310782,0.656736446591519,0.714285714285714,0.727272727272727,0.782608695652174,0.391304347826087,0.325581395348837,0.530864197530864,1,1,1,0.428571428571429,0.666666666666667,0.428571428571429,0.166666666666667,0.0833333333333333,0,NaN,1,1,1,0.875,0.923076923076923,0.0666666666666667,0.133333333333333,0.0666666666666667,9.68005693120434,5.72864108827784,7.77513984731796,7.75631814337244,5.75314185863957,6.7906175240224
29,m,477,1,2,3.8,1,1,0.166666666666667,0.153846153846154,0.62962962962963,0.954545454545455,1,0.111111111111111,0.0210526315789474,0.538461538461538,-0.0454545454545454,0,-0.0555555555555556,-0.132793522267206,-0.0911680911680912,0.991935483870968,1,0.137254901960784,0.0495867768595041,0.584905660377358,1,123.05964218956,0.112356325920399,0.0568038742420221,-4.01145489010113,3.01728543127266e-05,0.472097209720972,0.479847494553377,0.64919028340081,0.762376237623762,0.685185185185185,0.961538461538462,0.181818181818182,0.274509803921569,0.336842105263158,1,1,1,0.636363636363636,0.461538461538462,0.857142857142857,0.142857142857143,0.142857142857143,0,NaN,1,0.916666666666667,0.5,0.5,0.552631578947368,0,0.0714285714285714,0,8.24916863073187,8.21471188326783,8.23257834491585,11.3969055580036,9.55601789054738,10.5105522366358
23,m,444,5,7,3.8,0.978947368421053,0.666666666666667,0.260869565217391,0.0384615384615385,0.454545454545455,0.954545454545455,0.91304347826087,0.461538461538462,0.0108695652173913,0.673469387755102,-0.0244019138755981,0.246376811594203,0.20066889632107,-0.0275919732441472,0.218923933209647,0.974358974358974,0.795454545454545,0.36734693877551,0.0169491525423729,0.56989247311828,1,100.774096135512,0.369169708030405,0.0639323245350887,-3.43181791814197,0.000299774973942346,0.530861244019139,0.478219696969697,0.570217391304348,0.652631578947368,0.727272727272727,0.76,0.409090909090909,0.229166666666667,0.380434782608696,0.980392156862745,0.967741935483871,1,0.423076923076923,0.333333333333333,0.583333333333333,0.0555555555555556,0,0,1,1,0.928571428571429,0.857142857142857,0.555555555555556,0.6875,0,0.0833333333333333,0,8.4748590326583,8.25377987690602,8.36499347659848,11.1449530062901,9.96474254496168,10.5584459782519
