age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,learning_rate_reward_raw,learning_rate_reward_transformed,learning_rate_delay_raw,learning_rate_delay_transformed,accept_AB_prev1,accept_AB_prev23,accept_AB_prev4,accept_A_prev1,accept_A_prev23,accept_A_prev4,accept_B_prev1,accept_B_prev23,accept_B_prev4,accept_A1_prev1,accept_A1_prev23,accept_A1_prev4,accept_A23_prev1,accept_A23_prev23,accept_A23_prev4,accept_A4_prev1,accept_A4_prev23,accept_A4_prev4,accept_B1_prev1,accept_B1_prev23,accept_B1_prev4,accept_B23_prev1,accept_B23_prev23,accept_B23_prev4,accept_B4_prev1,accept_B4_prev23,accept_B4_prev4,av_reward_est_A,av_reward_est_B,av_reward_est_both,av_reward_arithmetic_A,av_reward_arithmetic_B,av_reward_arithmetic_both
26,m,306,2,2,2.8,1,0,0,0.0952380952380952,0,0.933333333333333,0.533333333333333,0.9375,0.0508474576271186,0.741935483870968,-0.0666666666666667,0.533333333333333,0.9375,-0.0443906376109766,0.741935483870968,0.989247311827957,0.266666666666667,0.454545454545455,0.0625,0.365079365079365,2,62.1880649348176,0.519531393087749,0.0726527184897331,-2.11459808969184,0.0172321083110544,-2.19712149053633,0.0140058853362117,0.428205128205128,0.511458333333333,0.503389830508475,0.58974358974359,0.65625,0.6,0.266666666666667,0.366666666666667,0.406779661016949,1,1,1,0,0,0,0.166666666666667,0,0,NaN,1,0.875,0.666666666666667,0.6,0.8,0,0.222222222222222,0.111111111111111,12.5081828986973,6.55398636131205,9.85907003248774,7.8493079055939,5.57797134692657,6.83875562313598
41,m,257,0,0,2.7,1,1,0.0588235294117647,0,0.542857142857143,1,1,1,0.0612244897959184,1,0,0,0.941176470588235,0.0612244897959184,0.457142857142857,1,1,0.36,0.0461538461538462,0.703703703703704,2,20.7231777905266,-4.20559371976849,0.0874307709381912,-1.82803019509556,0.0337725100378998,-2.26237457106281,0.0118371353292227,0.486352357320099,0.55,0.661989795918367,0.741935483870968,0.6,0.875,0.230769230769231,0.5,0.448979591836735,1,1,1,0.65,0.3,0.6,0,0,0,NaN,1,1,1,1,1,0,0.1,0.2,23.5100670355637,12.6588767148172,19.0026495177152,8.18875575107003,5.3611848633009,7.01422630538131
48,m,313,8,14,2.8,1,1,0.157894736842105,0,0.529411764705882,1,0.705882352941177,0.769230769230769,0,0.733333333333333,0,-0.294117647058823,0.611336032388664,0,0.203921568627451,1,0.84375,0.40625,0,0.625,2,43.7036184113276,-1.14866987007475,0.0930890859998738,-3.01895672746061,0.00126823378829083,-3.66800020173263,0.000122227495650495,0.516901408450704,0.497058823529412,0.615476190476191,0.633802816901408,0.794117647058823,0.85,0.4,0.2,0.380952380952381,1,1,1,0.541666666666667,0.571428571428571,0,0,0,0,1,1,1,0.714285714285714,1,0.666666666666667,0,0,0,13.4499185627645,9.16279270745851,11.4614218894524,7.05042964690987,5.12982425885021,6.1595956584056
34,m,303,3,6,2.8,1,0.176470588235294,0.0625,0.0555555555555556,0.121212121212121,1,1,0.888888888888889,0.0175438596491228,0.931034482758621,0,0.823529411764706,0.826388888888889,-0.0380116959064327,0.809822361546499,1,0.5,0.5,0.0266666666666667,0.5,1,43.9654322305143,-0.55065750107334,0.0847343928523473,-2.1907316393157,0.0142356090475997,-2.35876128170223,0.0091680233680787,0.51984126984127,0.408568443051202,0.666666666666667,0.53968253968254,0.575757575757576,0.833333333333333,0.5,0.241379310344828,0.5,1,1,1,0.181818181818182,0,0,0.0833333333333333,0,0,1,1,1,1,1,0.894736842105263,0,0.125,0,14.1605409630073,8.43948609610287,11.4713815324808,11.1781529689945,9.62671117130462,10.4489038290665
25,m,264,1,2,2.7,0.980392156862745,1,0.846153846153846,0.153846153846154,0.92,1,1,1,0.0307692307692308,1,0.0196078431372549,0,0.153846153846154,-0.123076923076923,0.08,0.985294117647059,1,0.923076923076923,0.0512820512820513,0.962264150943396,2,37.7083533566687,-2.18496666178167,0.0952649798561113,-3.25127177746877,0.000574449871097393,-4.07766293669939,2.27453247763632e-05,0.615882352941176,0.596428571428571,0.71875,0.82,0.8,1,0.411764705882353,0.392857142857143,0.4375,0.96551724137931,1,1,0.857142857142857,1,1,0.142857142857143,0.142857142857143,0,1,1,1,1,1,1,0,0.1,0,10.726131466116,8.49547537866116,9.4931054881259,7.33583546045135,5.25581355164499,6.18607460633728
42,f,355,6,5,2.7,0.958333333333333,0,0.115384615384615,0,0.0612244897959184,1,0.0476190476190476,0.666666666666667,0.027027027027027,0.333333333333333,0.0416666666666666,0.0476190476190476,0.551282051282051,0.027027027027027,0.272108843537415,0.965909090909091,0.0227272727272727,0.340909090909091,0.0206185567010309,0.181818181818182,2,59.5455331384442,1.66392683264531,0.0854174861172772,-2.56222170760403,0.00520024509429046,-2.72348789515903,0.00322982913827935,0.263644366197183,0.388278388278388,0.361226920786182,0.464788732394366,0.571428571428571,0.434782608695652,0.0625,0.205128205128205,0.287671232876712,1,0.931034482758621,0.909090909090909,0.04,0.0833333333333333,0,0,0,0,NaN,1,1,0.25,0.428571428571429,0.321428571428571,0,0,0.0833333333333333,12.2655550972408,7.48130834398358,10.0048670709764,6.9988209467989,5.02646634622423,6.06682921246142
37,f,333,6,7,2.6,0.951612903225806,0.4,0.384615384615385,0.230769230769231,0.392857142857143,1,0,0,0,0,0.0483870967741935,-0.4,-0.384615384615385,-0.230769230769231,-0.392857142857143,0.96551724137931,0.171428571428571,0.142857142857143,0.0294117647058824,0.157142857142857,1,53.8165609715999,-0.236564371072249,0.0640505901243921,-2.76876642205115,0.00281344797259525,-3.31701014778032,0.00045493155860149,0.36258064516129,0.498644986449864,0.54019014693172,0.645161290322581,0.777777777777778,0.923076923076923,0.08,0.219512195121951,0.157303370786517,0.939393939393939,1,1,0.380952380952381,0.25,0.666666666666667,0.125,0.25,0,1,1,1,0,0,0,0,0,0,14.0062038627059,19.0197304583539,17.0259341674205,9.08327089942505,8.97877602894441,9.02033190407763
41,m,307,4,4,2.8,1,0,0.176470588235294,0.235294117647059,0.0909090909090909,1,0,0.714285714285714,0,0.333333333333333,0,0,0.53781512605042,-0.235294117647059,0.242424242424242,1,0,0.419354838709677,0.0571428571428571,0.206349206349206,1,55.4473603726914,1.63008175083066,0.0797321646055602,-2.74386123150712,0.0030360600111507,-2.7348790124512,0.00312016040419749,0.469230769230769,0.421630094043887,0.416759156492786,0.630769230769231,0.636363636363636,0.588235294117647,0.307692307692308,0.206896551724138,0.245283018867925,1,1,1,0.105263157894737,0,0.125,0.3,0.1,0,NaN,1,1,0.8,0.142857142857143,0.294117647058824,0,0,0,9.05783427323442,7.04471605004225,8.14623356839268,10.8204849460349,9.90284946254273,10.4049518969064
23,m,323,1,4,2.7,1,0.230769230769231,0.25,0.142857142857143,0.241379310344828,0.9375,0.0588235294117647,0.45,0,0.27027027027027,-0.0625,-0.171945701357466,0.2,-0.142857142857143,0.0288909599254427,0.987951807228916,0.133333333333333,0.361111111111111,0.0202020202020202,0.257575757575758,1,55.6705926561812,1.20891785885482,0.0809950552599375,-2.7314317482966,0.00315299004205538,-2.81073404403214,0.00247143124596194,0.364583333333333,0.414272030651341,0.504621848739496,0.666666666666667,0.689655172413793,0.785714285714286,0.0625,0.138888888888889,0.223529411764706,1,1,1,0.3,0,0.25,0.2,0,0,NaN,0.8,1,0.5,0.166666666666667,0.275862068965517,0,0,0,10.1813179257378,8.75747826909864,9.38902005228538,10.7058522462531,9.51794756851574,10.0448407723508
31,m,327,2,2,2.9,1,0,0,0,0,1,1,1,0.0273972602739726,1,0,1,1,0.0273972602739726,1,1,0.428571428571429,0.46875,0.021505376344086,0.447761194029851,2,31.0615684853089,-1.40482578825253,0.10571709017679,-1.93550705457917,0.0264640519084984,-2.2512171024331,0.0121858951031456,0.349206349206349,0.460810810810811,0.561111111111111,0.555555555555556,0.621621621621622,0.65,0.142857142857143,0.3,0.472222222222222,1,1,1,0,0,0,0,0,0,NaN,1,1,1,1,1,0,0.0833333333333333,0.0833333333333333,19.1656417809707,10.0901185319981,15.0178440460887,7.64524369496187,5.2098385326813,6.53218742938832
50,f,202,4,5,2.5,0.9375,1,1,0.818181818181818,1,1,0.777777777777778,0.777777777777778,0.51219512195122,0.777777777777778,0.0625,-0.222222222222222,-0.222222222222222,-0.305986696230599,-0.222222222222222,0.95,0.9,0.894736842105263,0.576923076923077,0.897435897435897,2,80.5682716417725,-0.142917365932553,0.0344918300274856,-0.0807940961748237,0.467802851645781,0.770662797819376,0.779546585845016,0.884751773049645,0.829131652661064,0.747228381374723,0.936170212765957,0.952380952380952,0.909090909090909,0.833333333333333,0.705882352941177,0.585365853658537,0.933333333333333,1,0.857142857142857,1,1,1,0.75,1.5,0,NaN,1,1,1,1,0.666666666666667,0.75,0.625,1.25,1.19255419634795,0.616149843307477,0.921529632997791,6.01203005647065,4.01856519043812,5.07470551681297
