age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,learning_rate_reward_raw,learning_rate_reward_transformed,learning_rate_delay_raw,learning_rate_delay_transformed
38,m,522,0,6,3.8,0.990654205607477,0.269230769230769,0.285714285714286,0.037037037037037,0.277777777777778,0.84,0.0689655172413793,0.172413793103448,0.00819672131147541,0.120689655172414,-0.150654205607477,-0.20026525198939,-0.113300492610837,-0.0288403157255616,-0.157088122605364,0.962121212121212,0.163636363636364,0.228070175438596,0.0134228187919463,0.196428571428571,1,151.42719710639142,3.8617047987096527,0.06682890955348039,0.3801413084754225,0.6480797382047188,0.6411478541660732,0.739286687279417
28,m,389,2,5,3.8,1.0,1.0,1.0,0.352941176470588,1.0,1.0,1.0,1.0,0.0113636363636364,1.0,0.0,0.0,0.0,-0.341577540106952,0.0,1.0,1.0,1.0,0.0666666666666667,1.0,1,92.23197019383623,0.8958088648446805,0.07588359828128513,-1.200486252578384,0.11497527429834187,-0.5857506379120816,0.27902154983942606
48,m,409,2,6,3.8,1.0,0.863636363636364,0.0909090909090909,0.130434782608696,0.477272727272727,1.0,0.9,0.956521739130435,0.0487804878048781,0.930232558139535,0.0,0.0363636363636364,0.865612648221344,-0.0816542948038176,0.452959830866808,1.0,0.880952380952381,0.533333333333333,0.0666666666666667,0.701149425287356,2,97.41320522671893,-3.3782202921356963,0.017368671668302613,-0.9244161992986698,0.17763483187855972,-2.245684660319911,0.012362106706519771
29,m,477,1,2,3.8,1.0,1.0,0.166666666666667,0.153846153846154,0.62962962962963,0.954545454545455,1.0,0.111111111111111,0.0210526315789474,0.538461538461538,-0.0454545454545454,0.0,-0.0555555555555556,-0.132793522267206,-0.0911680911680912,0.991935483870968,1.0,0.137254901960784,0.0495867768595041,0.584905660377358,1,67.45441431506738,-4.530260302570337,0.009471808609497747,-3.464817223678001,0.0002652959787265985,-4.161129420357495,1.5833877406723484e-5
23,m,444,5,7,3.8,0.978947368421053,0.666666666666667,0.260869565217391,0.0384615384615385,0.454545454545455,0.954545454545455,0.91304347826087,0.461538461538462,0.0108695652173913,0.673469387755102,-0.0244019138755981,0.246376811594203,0.20066889632107,-0.0275919732441472,0.218923933209647,0.974358974358974,0.795454545454545,0.36734693877551,0.0169491525423729,0.56989247311828,1,120.73556398573513,-3.1892554905226307,0.01348183629607084,-1.288749060377532,0.09874267023831695,-3.3027945935355207,0.00047863239768930477
28,m,476,7,5,3.7,0.989583333333333,0.0,0.037037037037037,0.05,0.0185185185185185,0.962962962962963,0.5,0.357142857142857,0.00900900900900901,0.431034482758621,-0.0266203703703705,0.5,0.32010582010582,-0.040990990990991,0.412515964240102,0.983739837398374,0.263157894736842,0.2,0.0152671755725191,0.232142857142857,2,145.28179498032134,-1.9090587866212008,0.012502572185195692,-0.608284696807106,0.2714993344353661,-2.6464203355390836,0.004067433179767654
32,f,496,3,5,3.9,1.0,0.96551724137931,0.0,0.0,0.444444444444444,1.0,1.0,0.307692307692308,0.0101010101010101,0.653846153846154,0.0,0.0344827586206896,0.307692307692308,0.0101010101010101,0.209401709401709,1.0,0.981818181818182,0.133333333333333,0.00819672131147541,0.539130434782609,2,54.71010913835647,-4.6163109251065535,0.010295657255979206,-3.3052886269855533,0.00047439319547665226,-4.042045723860078,2.6493448446573975e-5
39,f,450,7,10,3.7,0.98936170212766,0.36,0.0869565217391304,0.25,0.229166666666667,0.96,0.391304347826087,0.590909090909091,0.0112359550561798,0.488888888888889,-0.0293617021276597,0.031304347826087,0.50395256916996,-0.23876404494382,0.259722222222222,0.983193277310924,0.375,0.333333333333333,0.0683760683760684,0.354838709677419,1,136.6228795662432,1.3712836839005733,0.05223703419744147,-1.0643672423404404,0.14358118365328415,-0.9234345819364451,0.1778903884955783
39,f,399,5,16,3.7,1.0,1.0,0.529411764705882,0.0952380952380952,0.789473684210526,0.818181818181818,1.0,0.956521739130435,0.0337078651685393,0.977777777777778,-0.181818181818182,0.0,0.427109974424552,-0.0615302300695559,0.188304093567251,0.961904761904762,1.0,0.775,0.0454545454545455,0.891566265060241,2,99.41855163782859,-5.152371481243302,0.009077558057791101,-2.8328111944980168,0.002307031500607293,-4.209171713288041,1.2815427490431297e-5
33,f,451,1,2,3.8,1.0,0.615384615384615,0.0714285714285714,0.0,0.333333333333333,1.0,1.0,0.6,0.0303030303030303,0.791666666666667,0.0,0.384615384615385,0.528571428571429,0.0303030303030303,0.458333333333333,1.0,0.795918367346939,0.320754716981132,0.024390243902439,0.549019607843137,2,106.12951441638305,-3.6793795618455762,0.015353092043695175,-0.7933929292343919,0.21377446452271254,-3.0354564520459633,0.001200859519912223
