age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,learning_rate_raw,learning_rate_transformed
27,m,276,6,8,2.7,1.0,1.0,0.875,0.0,0.947368421,1.0,1.0,1.0,0.017241379,1.0,0.0,0.0,0.125,0.017241379,0.052631579,1.0,1.0,0.96,0.208333333,0.981132075,2,89.3766243086831,1.3771310439941165,0.07272292439394559,0.7288788160409646,0.7669621029537564
39,f,336,2,3,2.8,0.984848485,0.1,0.117647059,0.0,0.108108108,1.0,0.214285714,0.875,0.017241379,0.566666667,0.015151515,0.114285714,0.757352941,0.017241379,0.458558559,0.987654321,0.147058824,0.484848485,0.173469388,0.313432836,2,64.43464741738748,1.0197210316703738,0.08565332361859371,-1.7009991791793155,0.04447157065957491
38,f,236,3,5,2.6,1.0,0.769230769,0.909090909,0.625,0.833333333,0.888888889,1.0,1.0,0.735294118,1.0,-0.111111111,0.230769231,0.090909091,0.110294118,0.166666667,0.983870968,0.857142857,0.947368421,0.735294118,0.9,1,65.0611239370738,-0.09027632905021372,0.05315372588591859,1.1802655613614965,0.881052694631388
28,Female,284,0,8,2.5,1.0,0.25,0.8,0.066666667,0.555555556,1.0,0.909090909,0.923076923,0.068965517,0.916666667,0.0,0.659090909,0.123076923,0.002298851,0.361111111,1.0,0.565217391,0.857142857,0.075471698,0.725490196,2,81.97079445554687,2.593107673175966,0.06841675129539976,0.9333310701140815,0.8246754710604496
47,f,356,3,10,2.7,1.0,0.153846154,0.166666667,0.125,0.16,0.95,0.0,0.055555556,0.0,0.029411765,-0.05,-0.153846154,-0.111111111,-0.125,-0.130588235,0.988235294,0.068965517,0.1,0.108108108,0.084745763,1,99.38059912305172,1.787668559602668,0.05588736779564325,-1.6367196788729463,0.050844527597338485
63,FEMALE,204,1,10,2.5,0.975,1.0,1.0,0.909090909,1.0,1.0,0.875,0.909090909,0.896551724,0.894736842,0.025,-0.125,-0.090909091,-0.012539185,-0.105263158,0.979166667,0.9375,0.954545455,0.838709677,0.947368421,2,50.627336006163404,-0.5127691070023148,0.05051943620841476,1.2871111106503001,0.9009722183106059
33,F,243,2,2,2.3,0.853658537,0.75,0.5,0.5,0.625,0.466666667,0.416666667,0.333333333,0.276595745,0.375,-0.38699187,-0.333333333,-0.166666667,-0.223404255,-0.25,0.75,0.55,0.4,0.306666667,0.475,2,118.75234368065242,1.0937780698397,0.022545248094394132,1.6270847252089322,0.9481404476552625
39,m,316,3,4,2.9,1.0,0.666666667,0.1875,0.105263158,0.419354839,1.0,0.733333333,1.0,0.037735849,0.870967742,0.0,0.066666667,0.8125,-0.067527309,0.451612903,1.0,0.7,0.59375,0.15625,0.64516129,2,63.44870520395546,0.020816985488141426,0.098455428088777,-2.028538572621838,0.021252655342701876
35,f,351,5,9,2.6,0.981818182,0.0625,0.0625,0.0,0.0625,0.9375,0.117647059,0.4,0.014705882,0.25,-0.044318182,0.055147059,0.3375,0.014705882,0.1875,0.971830986,0.090909091,0.225806452,0.066037736,0.15625,2,71.68106995118792,2.293385442031897,0.07120365682659303,-2.0634887442574508,0.019533108058751913
18,m,346,4,4,2.9,1.0,0.111111111,0.095238095,0.0,0.102564103,1.0,0.875,0.941176471,0.035714286,0.909090909,0.0,0.763888889,0.845938375,0.035714286,0.806526807,1.0,0.470588235,0.473684211,0.202020202,0.472222222,2,59.973693668930615,0.3212109029217273,0.11770341350616159,-1.8280355866581943,0.03377210547797277
30,m,333,2,2,2.8,1.0,1.0,0.5,0.058823529,0.727272727,1.0,1.0,1.0,0.013513514,1.0,0.0,0.0,0.5,-0.045310016,0.272727273,1.0,1.0,0.735294118,0.10619469,0.859375,2,42.75943472739727,-0.6757378615480144,0.15046686786575167,-2.2771639270389605,0.011388219192509597
30,m,356,6,13,2.6,0.982758621,0.210526316,0.5,0.153846154,0.322580645,1.0,0.714285714,0.238095238,0.0,0.476190476,0.017241379,0.503759398,-0.261904762,-0.153846154,0.153609831,0.987012987,0.475,0.333333333,0.042372881,0.410958904,1,90.56701193768158,1.026791717165767,0.06182213982335831,-3.663304033624929,0.00012449135793557442
24,m,328,5,17,2.7,0.971830986,1.0,0.043478261,0.0,0.488372093,0.647058824,0.909090909,1.0,0.054545455,0.961538462,-0.324772162,-0.090909091,0.956521739,0.054545455,0.473166369,0.909090909,0.967741935,0.421052632,0.161290323,0.666666667,2,110.23368530612768,0.46114756205759144,0.05423677975425202,-2.1053389329788876,0.01763090769529968
