age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,learning_rate_reward_raw,learning_rate_reward_transformed,learning_rate_delay_raw,learning_rate_delay_transformed
34,m,387,2,3,2.7,1.0,0.454545455,0.05,0.052631579,0.261904762,1.0,0.75,0.105263158,0.0,0.435897436,0.0,0.295454545,0.055263158,-0.052631579,0.173992674,1.0,0.595238095,0.076923077,0.172131148,0.345679012,1,104.46174686769983,-2.189264675594752,0.03302653954468175,-0.9189012342316515,0.17907361715479936,-1.9592957172183867,0.025039082516515043
21,f,332,1,1,2.8,1.0,0.35,0.066666667,0.0,0.228571429,0.923076923,1.0,0.75,0.1,0.892857143,-0.076923077,0.65,0.683333333,0.1,0.664285714,0.987951807,0.638888889,0.37037037,0.206185567,0.523809524,2,68.47540598810035,-2.2172712237222294,0.057852031912699366,-1.7721873568790034,0.038181730818620974,-2.252782298573913,0.01213643941985143
31,m,313,6,13,2.6,0.982142857,0.333333333,0.153846154,0.416666667,0.258064516,1.0,0.0625,0.8,0.076923077,0.419354839,0.017857143,-0.270833333,0.646153846,-0.33974359,0.161290323,0.986111111,0.205882353,0.5,0.267326733,0.338709677,1,108.66667886942008,0.27090148982646917,0.047222687725112414,-1.8452699957909422,0.03249913641515845,-1.960411706093409,0.02497384436113692
26,m,307,4,4,2.8,1.0,0.333333333,0.25,0.071428571,0.290322581,1.0,0.909090909,0.928571429,0.018518519,0.92,0.0,0.575757576,0.678571429,-0.052910053,0.629677419,1.0,0.576923077,0.566666667,0.247311828,0.571428571,1,59.334679438102675,-1.2443399937294555,0.08778289485611888,-1.5151730733718658,0.06486429007901384,-1.7074593362890862,0.043868354857295455
37,m,367,4,4,2.8,1.0,0.157894737,0.0625,0.045454545,0.114285714,1.0,0.941176471,0.055555556,0.0,0.485714286,0.0,0.783281734,-0.006944444,-0.045454545,0.371428571,1.0,0.527777778,0.058823529,0.154545455,0.3,1,94.21222498894113,-1.7036944399638971,0.038291638982140906,-1.2052740185521402,0.11404876806716246,-2.004266033300654,0.022520785176491087
38,f,268,8,10,2.6,1.0,1.0,1.0,0.0,1.0,0.8125,0.916666667,1.0,0.058823529,0.956521739,-0.1875,-0.083333333,0.0,0.058823529,-0.043478261,0.953125,0.961538462,1.0,0.235294118,0.98,2,71.37342408084146,-0.6458819546007492,0.08120092647991103,-2.761282219201939,0.0028787450331506093,-2.7531268165011076,0.002951451278103423
27,m,286,1,2,2.8,1.0,0.642857143,0.8,0.5,0.724137931,0.928571429,0.916666667,1.0,0.016949153,0.962962963,-0.071428571,0.273809524,0.2,-0.483050847,0.238825032,0.985074627,0.769230769,0.9,0.302083333,0.839285714,1,89.72085444444895,-0.29642735787544794,0.06882541707758266,-1.8559733613153873,0.03172867756342962,-1.7704754043269941,0.038323989078783594
51,m,337,0,7,2.8,0.985507246,0.117647059,0.157894737,0.058823529,0.138888889,0.9375,0.875,0.846153846,0.066666667,0.862068966,-0.048007246,0.757352941,0.688259109,0.007843137,0.723180077,0.976470588,0.484848485,0.4375,0.076190476,0.461538462,2,70.75909732222514,-0.924840035419511,0.06239273272189593,-2.2893900027735663,0.0110283512405836,-2.626032116875223,0.004319333297184091
34,m,338,1,3,2.8,1.0,0.8125,0.214285714,0.0,0.533333333,1.0,0.875,1.0,0.028985507,0.9375,0.0,0.0625,0.785714286,0.028985507,0.404166667,1.0,0.84375,0.633333333,0.036036036,0.741935484,2,43.30141804273909,-2.2184416004590295,0.10146806246941434,-2.425071706837121,0.007652681657301319,-2.7093236557726947,0.003371026739268479
29,m,284,4,10,2.6,0.945454545,0.133333333,0.454545455,0.333333333,0.269230769,0.7,0.666666667,0.857142857,0.20754717,0.769230769,-0.245454545,0.533333333,0.402597403,-0.125786164,0.5,0.907692308,0.37037037,0.68,0.390804598,0.519230769,1,117.62098932002569,0.13500580385985528,0.03414122669668367,-1.8365667654690607,0.03313693867746392,-1.8095043773966064,0.03518634035663265
