age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,learning_rate_raw,learning_rate_transformed
25,m,273,0,0,2.7,1.0,1.0,0.666666666666667,0.0,0.8,1.0,1.0,0.9375,0.0327868852459016,0.96551724137931,0.0,0.0,0.270833333333333,0.0327868852459016,0.16551724137931,1.0,1.0,0.806451612903226,0.0273972602739726,0.888888888888889,2,38.00135255203457,-0.6038168513110697,0.08629391397990278,-3.8126023349131835,6.875563201619306e-5
21,male,293,0,1,2.7,1.0,0.733333333333333,0.277777777777778,0.0625,0.484848484848485,0.833333333333333,0.941176470588235,0.933333333333333,0.142857142857143,0.9375,-0.166666666666667,0.207843137254902,0.655555555555556,0.0803571428571428,0.452651515151515,0.973684210526316,0.84375,0.575757575757576,0.126582278481013,0.707692307692308,2,79.26182455849546,0.04460350012128868,0.06930179332873945,-2.2286248747055253,0.012919437282760127
44,f,299,1,3,2.6,0.892857142857143,0.0588235294117647,0.733333333333333,0.111111111111111,0.375,1.0,0.555555555555556,0.941176470588235,0.0142857142857143,0.742857142857143,0.107142857142857,0.496732026143791,0.207843137254902,-0.0968253968253968,0.367857142857143,0.916666666666667,0.314285714285714,0.84375,0.0340909090909091,0.567164179104478,1,79.79087306694919,0.717412029403838,0.06249383829008785,-2.753600971115113,0.0029471792502528404
25,m,286,5,16,2.6,1.0,0.75,0.785714285714286,0.153846153846154,0.772727272727273,0.933333333333333,0.333333333333333,0.333333333333333,0.0579710144927536,0.333333333333333,-0.0666666666666667,-0.416666666666667,-0.452380952380952,-0.0958751393534002,-0.439393939393939,0.985507246376812,0.461538461538462,0.551724137931034,0.0731707317073171,0.509090909090909,1,97.92865548413099,2.4872290137890483,0.055288613214216666,1.1360548502885683,0.8720331953619227
34,m,339,3,5,2.8,1.0,0.0588235294117647,0.05,0.0588235294117647,0.0540540540540541,0.894736842105263,0.611111111111111,0.476190476190476,0.0147058823529412,0.538461538461538,-0.105263157894737,0.552287581699346,0.426190476190476,-0.0441176470588235,0.484407484407484,0.979166666666667,0.342857142857143,0.268292682926829,0.0235294117647059,0.302631578947368,1,71.5253787734626,1.3482111539704578,0.07348327587409129,-2.814253119064249,0.002444535761239097
26,F,290,2,3,2.8,1.0,0.944444444444444,0.368421052631579,0.0526315789473684,0.648648648648649,1.0,0.933333333333333,0.818181818181818,0.0980392156862745,0.884615384615385,0.0,-0.0111111111111111,0.449760765550239,0.0454076367389061,0.235966735966736,1.0,0.939393939393939,0.533333333333333,0.0857142857142857,0.746031746031746,2,67.87778652432749,-0.11935119820521976,0.07382222927361225,-2.7409382176577313,0.003063201300664009
39,m,308,7,10,2.6,0.964912280701754,0.529411764705882,0.294117647058824,0.153846153846154,0.411764705882353,0.9375,0.117647058823529,0.470588235294118,0.0163934426229508,0.294117647058824,-0.0274122807017544,-0.411764705882353,0.176470588235294,-0.137452711223203,-0.117647058823529,0.958904109589041,0.323529411764706,0.382352941176471,0.0405405405405405,0.352941176470588,1,75.85133053891226,1.1250173101627023,0.0625606356799313,-3.620877703059946,0.00014680264230215734
24,m,315,4,9,2.7,1.0,0.833333333333333,0.266666666666667,0.25,0.575757575757576,1.0,1.0,0.05,0.0,0.512820512820513,0.0,0.166666666666667,-0.216666666666667,-0.25,-0.062937062937063,1.0,0.918918918918919,0.142857142857143,0.0487804878048781,0.541666666666667,1,85.92497152867743,0.36081414807206713,0.05961426520058646,-3.4824545086898704,0.00024841981434781113
35,f,310,3,2,2.8,1.0,0.2,0.0526315789473684,0.0625,0.117647058823529,1.0,0.75,0.666666666666667,0.0317460317460317,0.714285714285714,0.0,0.55,0.614035087719298,-0.0307539682539683,0.596638655462185,1.0,0.514285714285714,0.323529411764706,0.0379746835443038,0.420289855072464,2,57.62194346397123,1.075704353484756,0.08424299941505409,-1.7126785509025189,0.043385846632248815
42,f,232,0,5,2.6,1.0,1.0,0.785714285714286,0.0,0.888888888888889,0.916666666666667,1.0,1.0,0.195652173913043,1.0,-0.0833333333333334,0.0,0.214285714285714,0.195652173913043,0.111111111111111,0.984615384615385,1.0,0.884615384615385,0.152542372881356,0.942307692307692,2,67.59243752500846,0.7709845854902212,0.06520687203790462,0.3893545907386694,0.6514930708463489
28,p,317,1,1,2.7,0.983606557377049,1.0,0.230769230769231,0.384615384615385,0.6,1.0,0.928571428571429,0.352941176470588,0.0240963855421687,0.612903225806452,0.0163934426229508,-0.0714285714285714,0.122171945701357,-0.360518999073216,0.0129032258064516,0.986666666666667,0.961538461538462,0.3,0.0729166666666667,0.607142857142857,1,79.64250448084573,0.13595675950642414,0.05929605431199951,-3.005134174596216,0.0013273185843055146
23,m,298,2,4,2.7,0.983333333333333,1.0,0.111111111111111,0.125,0.555555555555556,1.0,1.0,0.846153846153846,0.0,0.923076923076923,0.0166666666666667,0.0,0.735042735042735,-0.125,0.367521367521368,0.987012987012987,1.0,0.419354838709677,0.024390243902439,0.709677419354839,1,59.465187006076,0.1294383387384422,0.08287298786051203,-2.018340949271028,0.021777882373360202
50,f,323,1,1,2.7,0.985294117647059,0.125,0.0,0.0588235294117647,0.0666666666666667,1.0,0.894736842105263,0.307692307692308,0.0277777777777778,0.65625,0.0147058823529411,0.769736842105263,0.307692307692308,-0.0310457516339869,0.589583333333333,0.987951807228916,0.542857142857143,0.148148148148148,0.0337078651685393,0.370967741935484,2,67.84000218773492,1.279712238934694,0.07316025640927903,-1.625388397701245,0.052039913253245695
21,f,235,9,13,2.6,1.0,0.923076923076923,1.0,0.181818181818182,0.962962962962963,0.9,0.866666666666667,1.0,0.0714285714285714,0.933333333333333,-0.1,-0.0564102564102564,0.0,-0.11038961038961,-0.0296296296296296,0.980769230769231,0.892857142857143,1.0,0.0895522388059701,0.947368421052632,2,68.4832965010298,1.6487193560287248,0.0741639651667779,0.8249129782452379,0.7952895012004163
